Namespace(backend='inductor', batch_size=4, cache=False, checkpoint_step=-1, compile=False, datadir='../', device='gpu', learning_rate=0.0005, log_dir=None, num_query=10, num_support=5, num_train_iterations=8000, num_way=2, num_workers=2, test=False)
Using device:  cpu
log_dir: ./logs/protonet/metabolism.way_2.support_5.query_10.lr_0.0005.batch_size_4
Checkpoint loading skipped.
Training on tasks with composition num_way=2, num_support=5, num_query=10
Starting training at iteration 0.
Iteration 3120: loss: 0.317, support accuracy: 1.000, query accuracy: 1.000
Iteration 3130: loss: 0.339, support accuracy: 1.000, query accuracy: 0.975
Iteration 3140: loss: 0.325, support accuracy: 1.000, query accuracy: 0.987
Iteration 3150: loss: 0.327, support accuracy: 0.975, query accuracy: 0.987
Iteration 3160: loss: 0.326, support accuracy: 1.000, query accuracy: 1.000
Iteration 3170: loss: 0.326, support accuracy: 1.000, query accuracy: 0.987
Iteration 3180: loss: 0.324, support accuracy: 0.975, query accuracy: 0.987
Iteration 3190: loss: 0.319, support accuracy: 1.000, query accuracy: 1.000
Iteration 3200: loss: 0.315, support accuracy: 1.000, query accuracy: 1.000
Iteration 3210: loss: 0.317, support accuracy: 1.000, query accuracy: 1.000
Iteration 3220: loss: 0.320, support accuracy: 1.000, query accuracy: 0.987
Iteration 3230: loss: 0.326, support accuracy: 1.000, query accuracy: 0.987
Iteration 3240: loss: 0.326, support accuracy: 1.000, query accuracy: 0.987
Iteration 3250: loss: 0.316, support accuracy: 0.975, query accuracy: 1.000
Iteration 3260: loss: 0.316, support accuracy: 1.000, query accuracy: 1.000
Iteration 3270: loss: 0.349, support accuracy: 0.975, query accuracy: 0.962
Iteration 3280: loss: 0.323, support accuracy: 0.975, query accuracy: 0.987
Iteration 3290: loss: 0.320, support accuracy: 1.000, query accuracy: 1.000
Iteration 3300: loss: 0.321, support accuracy: 1.000, query accuracy: 0.987
Iteration 3310: loss: 0.324, support accuracy: 1.000, query accuracy: 0.987
Iteration 3320: loss: 0.347, support accuracy: 0.950, query accuracy: 0.975
Iteration 3330: loss: 0.315, support accuracy: 1.000, query accuracy: 1.000
Iteration 3340: loss: 0.317, support accuracy: 1.000, query accuracy: 1.000
Iteration 3350: loss: 0.318, support accuracy: 0.975, query accuracy: 1.000
Iteration 3360: loss: 0.315, support accuracy: 1.000, query accuracy: 1.000
Iteration 3370: loss: 0.318, support accuracy: 1.000, query accuracy: 1.000
Iteration 3380: loss: 0.315, support accuracy: 0.975, query accuracy: 1.000
Iteration 3390: loss: 0.338, support accuracy: 1.000, query accuracy: 0.975
Iteration 3400: loss: 0.340, support accuracy: 1.000, query accuracy: 0.975
Iteration 3410: loss: 0.314, support accuracy: 1.000, query accuracy: 1.000
Iteration 3420: loss: 0.330, support accuracy: 1.000, query accuracy: 0.975
Iteration 3430: loss: 0.315, support accuracy: 1.000, query accuracy: 1.000
Iteration 3440: loss: 0.327, support accuracy: 1.000, query accuracy: 0.987
Iteration 3450: loss: 0.325, support accuracy: 1.000, query accuracy: 0.987
Iteration 3460: loss: 0.330, support accuracy: 0.975, query accuracy: 0.987
Iteration 3470: loss: 0.318, support accuracy: 1.000, query accuracy: 1.000
Iteration 3480: loss: 0.342, support accuracy: 1.000, query accuracy: 0.975
Iteration 3490: loss: 0.328, support accuracy: 1.000, query accuracy: 0.987
